instruction,input,output
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-11..2024-10"", ""mat_sales_cr"": 5.524, ""yoy"": 0.0177, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3123, ""mat_cr"": 1.725206833}, {""brand"": ""Beta"", ""share"": 0.265, ""mat_cr"": 1.4638095629999999}, {""brand"": ""Gamma"", ""share"": 0.2343, ""mat_cr"": 1.294029321}, {""brand"": ""Delta"", ""share"": 0.1885, ""mat_cr"": 1.041091195}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0335}, {""brand"": ""Alpha"", ""yoy"": 0.0252}, {""brand"": ""Delta"", ""yoy"": 0.0233}], ""bottom_movers"": [{""brand"": ""Gamma"", ""yoy"": -0.0132}, {""brand"": ""Delta"", ""yoy"": 0.0233}, {""brand"": ""Alpha"", ""yoy"": 0.0252}], ""lead_share_pp_delta"": 0.0023}",,"• The biscuits market in India up by 1.8% YoY Nov 2023–Oct 2024.
• Alpha holds 31.2% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-11..2024-10"", ""mat_sales_cr"": 5.524, ""yoy"": 0.0177, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3123, ""mat_cr"": 1.725206833}, {""brand"": ""Beta"", ""share"": 0.265, ""mat_cr"": 1.4638095629999999}, {""brand"": ""Gamma"", ""share"": 0.2343, ""mat_cr"": 1.294029321}, {""brand"": ""Delta"", ""share"": 0.1885, ""mat_cr"": 1.041091195}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0335}, {""brand"": ""Alpha"", ""yoy"": 0.0252}, {""brand"": ""Delta"", ""yoy"": 0.0233}], ""bottom_movers"": [{""brand"": ""Gamma"", ""yoy"": -0.0132}, {""brand"": ""Delta"", ""yoy"": 0.0233}, {""brand"": ""Alpha"", ""yoy"": 0.0252}], ""lead_share_pp_delta"": 0.0023}",,"• In India biscuits was unchanged 1.8% Nov 2023–Oct 2024.
• Alpha maintains 31.2% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Biscuits"", ""market"": ""India"", ""period"": ""2023-11..2024-10"", ""mat_sales_cr"": 5.524, ""yoy"": 0.0177, ""leaders"": [{""brand"": ""Alpha"", ""share"": 0.3123, ""mat_cr"": 1.725206833}, {""brand"": ""Beta"", ""share"": 0.265, ""mat_cr"": 1.4638095629999999}, {""brand"": ""Gamma"", ""share"": 0.2343, ""mat_cr"": 1.294029321}, {""brand"": ""Delta"", ""share"": 0.1885, ""mat_cr"": 1.041091195}], ""top_movers"": [{""brand"": ""Beta"", ""yoy"": 0.0335}, {""brand"": ""Alpha"", ""yoy"": 0.0252}, {""brand"": ""Delta"", ""yoy"": 0.0233}], ""bottom_movers"": [{""brand"": ""Gamma"", ""yoy"": -0.0132}, {""brand"": ""Delta"", ""yoy"": 0.0233}, {""brand"": ""Alpha"", ""yoy"": 0.0252}], ""lead_share_pp_delta"": 0.0023}",,"• Across India, biscuits was flat 1.8% Nov 2023–Oct 2024.
• Alpha holds 31.2% share."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Splash"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 3.233, ""mat_cr_b"": 2.679, ""share_a"": 0.2753, ""share_b"": 0.2281, ""yoy_a"": 0.0334, ""yoy_b"": 0.0675}",,"• The beverages market in India, Splash has a narrow lead over Hydra: share 27.5% vs 22.8%; YoY 3.3% vs 6.8%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Splash"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 3.233, ""mat_cr_b"": 2.679, ""share_a"": 0.2753, ""share_b"": 0.2281, ""yoy_a"": 0.0334, ""yoy_b"": 0.0675}",,"• In India beverages, Splash edges past Hydra: share 27.5% vs 22.8%; YoY 3.3% vs 6.8%."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Beverages"", ""market"": ""India"", ""brand_a"": ""Splash"", ""brand_b"": ""Hydra"", ""mat_cr_a"": 3.233, ""mat_cr_b"": 2.679, ""share_a"": 0.2753, ""share_b"": 0.2281, ""yoy_a"": 0.0334, ""yoy_b"": 0.0675}",,"• Across India, beverages, Splash edges past Hydra: share 27.5% vs 22.8%; YoY 3.3% vs 6.8%."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2022-10..2023-09"", ""mat_sales_cr"": 12.217, ""yoy"": 0.0402, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3265, ""mat_cr"": 3.98831595}, {""brand"": ""Splash"", ""share"": 0.2749, ""mat_cr"": 3.3578950520000004}, {""brand"": ""Hydra"", ""share"": 0.2229, ""mat_cr"": 2.7231175149999998}, {""brand"": ""Quench"", ""share"": 0.1758, ""mat_cr"": 2.147716995}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0547}, {""brand"": ""Quench"", ""yoy"": 0.0475}, {""brand"": ""Splash"", ""yoy"": 0.0385}], ""bottom_movers"": [{""brand"": ""Hydra"", ""yoy"": 0.0164}, {""brand"": ""Splash"", ""yoy"": 0.0385}, {""brand"": ""Quench"", ""yoy"": 0.0475}], ""lead_share_pp_delta"": 0.0045}",,"• The beverages market in India up by 4.0% YoY Oct 2022–Sep 2023.
• Fizz maintains 32.6% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2022-10..2023-09"", ""mat_sales_cr"": 12.217, ""yoy"": 0.0402, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3265, ""mat_cr"": 3.98831595}, {""brand"": ""Splash"", ""share"": 0.2749, ""mat_cr"": 3.3578950520000004}, {""brand"": ""Hydra"", ""share"": 0.2229, ""mat_cr"": 2.7231175149999998}, {""brand"": ""Quench"", ""share"": 0.1758, ""mat_cr"": 2.147716995}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0547}, {""brand"": ""Quench"", ""yoy"": 0.0475}, {""brand"": ""Splash"", ""yoy"": 0.0385}], ""bottom_movers"": [{""brand"": ""Hydra"", ""yoy"": 0.0164}, {""brand"": ""Splash"", ""yoy"": 0.0385}, {""brand"": ""Quench"", ""yoy"": 0.0475}], ""lead_share_pp_delta"": 0.0045}",,"• In India beverages ticked up 4.0% Oct 2022–Sep 2023.
• Fizz maintains 32.6% share."
"Write exactly 2 short, human-like FMCG bullets from the JSON. Use readable dates. Keep numbers unchanged.

JSON:
{""task"": ""mat_summary"", ""category"": ""Beverages"", ""market"": ""India"", ""period"": ""2022-10..2023-09"", ""mat_sales_cr"": 12.217, ""yoy"": 0.0402, ""leaders"": [{""brand"": ""Fizz"", ""share"": 0.3265, ""mat_cr"": 3.98831595}, {""brand"": ""Splash"", ""share"": 0.2749, ""mat_cr"": 3.3578950520000004}, {""brand"": ""Hydra"", ""share"": 0.2229, ""mat_cr"": 2.7231175149999998}, {""brand"": ""Quench"", ""share"": 0.1758, ""mat_cr"": 2.147716995}], ""top_movers"": [{""brand"": ""Fizz"", ""yoy"": 0.0547}, {""brand"": ""Quench"", ""yoy"": 0.0475}, {""brand"": ""Splash"", ""yoy"": 0.0385}], ""bottom_movers"": [{""brand"": ""Hydra"", ""yoy"": 0.0164}, {""brand"": ""Splash"", ""yoy"": 0.0385}, {""brand"": ""Quench"", ""yoy"": 0.0475}], ""lead_share_pp_delta"": 0.0045}",,"• Across India, beverages up by 4.0% YoY Oct 2022–Sep 2023.
• Fizz holds 32.6% share."
"Write exactly 1 short, human-like brand-pair bullet from the JSON. Mention sales (₹ Cr), shares (%), and YoY if present. Use readable dates.

JSON:
{""task"": ""brand_pair"", ""category"": ""Biscuits"", ""market"": ""India"", ""brand_a"": ""Gamma"", ""brand_b"": ""Alpha"", ""mat_cr_a"": 1.312, ""mat_cr_b"": 1.723, ""share_a"": 0.235, ""share_b"": 0.3087, ""yoy_a"": 0.0114, ""yoy_b"": -0.0006}",,"• The biscuits market in India, Gamma leads over Alpha: share 23.5% vs 30.9%; YoY 1.1% vs -0.1%."
